,Index,Classifier,Popularity,Adjacents,Distribution,Jump
107,107,Ramen,49.520000000000174,45,0.007709150901907985,0.0
108,108,Cupcakes,75.52000000000055,45,0.007709150901907985,0.0
109,109,Pasta Shops,98.92000000000088,45,0.007709150901907985,5.129375276094906e-05
110,110,Beer Gardens,49.520000000000174,46,0.007760444654668934,4.83727607351464e-05
111,111,Dive Bars,69.32000000000046,47,0.00780881741540408,0.0
112,112,Kosher,48.720000000000155,47,0.00780881741540408,4.539303514195306e-05
113,113,Acai Bowls,63.32000000000036,48,0.007854210450546033,4.2357966308670045e-05
114,114,Karaoke,78.12000000000056,49,0.007896568416854703,0.0
115,115,Portuguese,43.920000000000094,49,0.007896568416854703,0.0
116,116,Jazz & Blues,39.92000000000003,49,0.007896568416854703,3.92710569708174e-05
117,117,Tex-Mex,300.5199999999915,50,0.00793583947382552,0.0
118,118,Pakistani,71.92000000000048,50,0.00793583947382552,3.61359155690473e-05
119,119,Organic Stores,99.32000000000087,51,0.007971975389394568,0.0
120,120,Smokehouse,66.52000000000041,51,0.007971975389394568,0.0
121,121,Spanish,38.920000000000016,51,0.007971975389394568,3.295624924440528e-05
122,122,Custom Cakes,76.12000000000054,52,0.008004931638638973,0.0
123,123,Poke,153.51999999999984,52,0.008004931638638973,0.0
124,124,Taiwanese,136.32000000000082,52,0.008004931638638973,0.0
125,125,Chocolatiers & Shops,95.32000000000082,52,0.008004931638638973,5.621447645644609e-05
126,126,Hookah Bars,85.32000000000069,54,0.00806114611509542,0.0
127,127,Wineries,69.72000000000045,54,0.00806114611509542,0.0
128,128,Bistros,37.52,54,0.00806114611509542,2.3188497796188326e-05
129,129,Filipino,83.12000000000064,55,0.008084334612891608,1.986951677033534e-05
130,130,Persian/Iranian,62.920000000000364,56,0.008104204129661943,0.0
131,131,Gelato,71.32000000000049,56,0.008104204129661943,0.0
132,132,Cajun/Creole,100.32000000000087,56,0.008104204129661943,1.652576322596494e-05
133,133,African,41.12000000000005,57,0.008120729892887908,0.0
134,134,Live/Raw Food,87.3200000000007,57,0.008120729892887908,2.294190801074153e-05
135,135,Waffles,95.32000000000082,59,0.00814367180089865,0.0
136,136,Poutineries,71.5200000000005,59,0.00814367180089865,6.387452163756149e-06
137,137,Shaved Ice,81.92000000000063,60,0.008150059253062406,2.9863731770257e-06
138,138,Cheese Shops,97.12000000000084,61,0.008153045626239431,4.1844668762815174e-07
139,139,Fish & Chips,90.52000000000076,62,0.008152627179551803,0.0
140,140,Cheesesteaks,106.52000000000099,62,0.008152627179551803,0.0
141,141,German,69.72000000000045,62,0.008152627179551803,0.0
142,142,Lebanese,87.1200000000007,62,0.008152627179551803,3.822742330341841e-06
143,143,Wraps,119.52000000000116,63,0.008148804437221461,7.222249745659354e-06
144,144,Patisserie/Cake Shop,107.720000000001,64,0.008141582187475802,0.0
145,145,Hawaiian,157.1199999999996,64,0.008141582187475802,4.195222329978279e-05
146,146,Tacos,140.1200000000006,67,0.008099629964176019,0.0
147,147,International Grocery,83.92000000000066,67,0.008099629964176019,2.0687652710866394e-05
148,148,Noodles,133.320000000001,68,0.008078942311465153,0.0
149,149,Seafood Markets,103.72000000000094,68,0.008078942311465153,5.128224651810426e-05
150,150,Breweries,359.7199999999881,70,0.008027660064947048,3.053087451702907e-05
151,151,Bubble Tea,219.1199999999961,71,0.00799712919043002,7.065230226031491e-05
152,152,Donuts,280.9199999999926,73,0.007926476888169704,0.0
153,153,Modern European,85.32000000000069,73,0.007926476888169704,4.003431500686043e-05
154,154,Fruits & Veggies,112.12000000000107,74,0.007886442573162844,4.310881436593063e-05
155,155,Delicatessen,106.720000000001,75,0.007843333758796913,0.0
156,156,Greek,206.7199999999968,75,0.007843333758796913,4.613060231851377e-05
157,157,Do-It-Yourself Food,101.72000000000092,76,0.0077972031564784,0.0
158,158,Internet Cafes,144.3200000000004,76,0.0077972031564784,4.909620314558303e-05
159,159,Vietnamese,192.31999999999763,77,0.007748106953332817,0.0
160,160,Convenience Stores,183.7199999999981,77,0.007748106953332817,0.0
161,161,Bagels,465.5199999999821,77,0.007748106953332817,0.0
162,162,Latin American,165.11999999999918,77,0.007748106953332817,5.200225513546288e-05
163,163,Southern,282.9199999999925,78,0.007696104698197354,0.0
164,164,Buffets,130.32000000000116,78,0.007696104698197354,0.0
165,165,Chicken Shop,339.5199999999893,78,0.007696104698197354,5.484551688629026e-05
166,166,Farmers Market,104.32000000000096,79,0.0076412591813110635,0.0
167,167,Creperies,183.31999999999812,79,0.0076412591813110635,5.762287326839793e-05
168,168,Thai,236.51999999999512,80,0.0075836363080426655,0.0
169,169,Caribbean,148.52000000000012,80,0.0075836363080426655,0.00012329941507380378
170,170,Korean,161.91999999999936,82,0.007460336892968862,0.0
171,171,Hot Dogs,352.9199999999885,82,0.007460336892968862,6.553036814180898e-05
172,172,Meat Shops,257.11999999999404,83,0.007394806524827053,0.0
173,173,Sushi Bars,314.7199999999907,83,0.007394806524827053,0.00021118302071112226
174,174,Tea Rooms,205.31999999999692,86,0.0071836235041159305,0.0001521273557638491
175,175,Soul Food,238.31999999999505,88,0.007031496148352081,0.0
176,176,Gastropubs,299.5199999999916,88,0.007031496148352081,0.00024346951608314026
177,177,Tapas Bars,136.92000000000078,91,0.006788026632268941,0.0
